DATE,DAY,IFVG-ENTRY,IFVG-FORMED,MAX-RR,B/S,W/L
06-Jan,TUE,LN,LN,0,BUY,LOSS
06-Jan,TUE,NY,NY,5,BUY,WIN
07-Jan,WED,NY,NY,20,SELL,WIN
08-Jan,THU,NY,NY,4.6,BUY,BE
09-Jan,MON,POST NY,NY,12,BUY,WIN
09-Jan,FRI,LN,PRE LN,3.5,BUY,BE
12-Jan,MON,LN,LN,0,SELL,LOSS
12-Jan,MON,NY,NY,0,BUY,LOSS
13-Jan,TUE,PRE LN,PRE LN,7,BUY,WIN
13-Jan,TUE,POST NY,NY,7.5,BUY,WIN
14-Jan,WED,LN,LN,0,SELL,LOSS
14-Jan,WED,NY,NY,3,SELL,BE
15-Jan,THU,PRE LN,PRE LN,0,BUY,LOSS
15-Jan,THU,NY,NY,0,BUY,LOSS
16-Jan,FRI,LN,LN,0,SELL,LOSS
16-Jan,FRI,POST NY,NY,2.9,BUY,BE
19-Jan,MON,NY,NY,0,SELL,LOSS
20-Jan,TUE,LN,LN,5.6,SELL,WIN
20-Jan,TUE,NY,PRE NY,0,SELL,LOSS
21-Jan,WED,LN,LN,0,BUY,LOSS
22-Jan,THU,NY,NY,0,SELL,LOSS
23-Jan,FRI,LN,PRE LN,0,BUY,LOSS
23-Jan,FRI,NY,NY,2.5,SELL,BE
26-Jan,MON,PRE NY,LN,0,BUY,LOSS
26-Jan,MON,POST NY,NY,10,SELL,WIN
27-Jan,TUE,NY,NY,0,SELL,LOSS
28-Jan,WED,NY,LN,0,BUY,LOSS
29-Jan,THU,PRE NY,LN,7.6,BUY,WIN
30-Jan,FRI,LN,LN,10.7,SELL,WIN
01-Dec,MON,LN,LN,0,SELL,LOSS
02-Dec,TUE,LN,PRE LN,9,SELL,WIN
02-Dec,TUE,NY,NY,0,SELL,LOSS
03-Dec,WED,PRE LN,PRE LN,0,SELL,LOSS
03-Dec,WED,NY,PRE NY,0,SELL,LOSS
04-Dec,THU,PRE LN,PRE LN,10,BUY,WIN
04-Dec,THU,NY,NY,0,BUY,LOSS
05-Dec,FRI,PRE LN,PRE LN,0,SELL,LOSS
08-Dec,MON,LN,PRE LN,14,SELL,WIN
08-Dec,MON,NY,NY,0,BUY,LOSS
09-Dec,TUE,NY,NY,0,BUY,LOSS
10-Dec,WED,PRE LN,PRE LN,0,SELL,LOSS
11-Dec,THU,PRE LN,PRE LN,0,SELL,LOSS
11-Dec,THU,NY,NY,0,SELL,LOSS
12-Dec,FRI,LN,LN,0,BUY,LOSS
12-Dec,FRI,NY,NY,5,SELL,WIN
15-Dec,MON,LN,LN,16,BUY,WIN
15-Dec,MON,NY,PRE NY,0,SELL,LOSS
16-Dec,TUE,PRE LN,PRE LN,11,BUY,WIN
16-Dec,TUE,PRE NY,PRE NY,0,SELL,LOSS
17-Dec,WED,LN,LN,14,BUY,WIN
17-Dec,WED,NY,NY,0,SELL,LOSS
18-Dec,THU,LN,LN,3,BUY,BE
18-Dec,THU,PRE NY,PRE NY,19,BUY,WIN
19-Dec,FRI,PRE LN,PRE LN,0,BUY,LOSS
22-Dec,MON,LN,LN,0,SELL,LOSS
22-Dec,MON,PRE NY,PRE NY,0,SELL,LOSS
23-Dec,TUE,LN,LN,0,SELL,LOSS
23-Dec,TUE,NY,NY,0,BUY,LOSS
24-Dec,WED,NY,LN,0,BUY,LOSS
24-Dec,WED,POST NY,NY,0,BUY,LOSS
26-Dec,FRI,POST NY,POST-NY,0,BUY,LOSS
29-Dec,MON,LN,LN,8,SELL,WIN
29-Dec,MON,POST NY,PRE NY,0,BUY,LOSS
30-Dec,TUE,LN,LN,0,BUY,LOSS
30-Dec,TUE,NY,NY,3,BUY,BE
31-Dec,WED,LN,PRE LN,0,BUY,LOSS
31-Dec,WED,NY,PRE NY,14,SELL,WIN
03-Nov,MON,LN,PRE LN,14,SELL,WIN
03-Nov,MON,NY,NY,8,BUY,WIN
04-Nov,TUE,LN,PRE LN,18,SELL,WIN
04-Nov,TUE,NY,PRE NY,0,BUY,LOSS
05-Nov,WED,LN,LN,4.5,BUY,BE
05-Nov,WED,NY,NY,12.6,BUY,WIN
06-Nov,THU,LN,LN,0,SELL,LOSS
06-Nov,THU,NY,NY,2.5,SELL,BE
07-Nov,FRI,PRE LN,PRE LN,16.8,BUY,WIN
07-Nov,FRI,NY,PRE NY,0,SELL,LOSS
10-Nov,MON,LN,PRE LN,0,SELL,LOSS
11-Nov,TUE,LN,LN,0,SELL,LOSS
11-Nov,TUE,NY,NY,9.8,SELL,WIN
12-Nov,WED,LN,PRE LN,7.6,SELL,WIN
13-Nov,THU,NY,LN,0,SELL,LOSS
14-Nov,FRI,LN,LN,0,BUY,LOSS
14-Nov,FRI,POST NY,NY,4.3,BUY,BE
17-Nov,MON,LN,PRE LN,4.7,BUY,BE
17-Nov,MON,NY,NY,0,BUY,LOSS
18-Nov,TUE,LN,LN,10,BUY,WIN
19-Nov,WED,POST NY,NY,0,BUY,LOSS
21-Nov,FRI,PRE LN,PRE LN,0,SELL,LOSS
21-Nov,FRI,NY,NY,0,BUY,LOSS
24-Nov,MON,LN,LN,0,SELL,LOSS
25-Nov,TUE,LN,LN,0,SELL,LOSS
25-Nov,TUE,POST NY,NY,0,SELL,LOSS
26-Nov,WED,NY,NY,0,SELL,LOSS
27-Nov,THU,LN,PRE LN,3,BUY,BE
27-Nov,THU,NY,NY,4.2,SELL,BE
28-Nov,FRI,LN,LN,19.8,BUY,WIN
28-Nov,FRI,NY,NY,0,SELL,LOSS
01-Oct,WED,NY,LN,13,BUY,WIN
02-Oct,THU,PRE LN,PRE LN,0,SELL,LOSS
03-Oct,FRI,LN,LN,4.5,SELL,BE
03-Oct,FRI,NY,NY,9.5,SELL,WIN
06-Oct,MON,PRE LN,PRE LN,0,BUY,LOSS
07-Oct,TUE,LN,PRE LN,0,BUY,LOSS
08-Oct,WED,LN,PRE LN,0,BUY,LOSS
08-Oct,WED,POST NY,NY,15,BUY,WIN
09-Oct,THU,LN,LN,5,BUY,WIN
09-Oct,THU,NY,NY,0,BUY,LOSS
10-Oct,FRI,PRE LN,PRE LN,9,BUY,WIN
10-Oct,FRI,POST NY,NY,7,SELL,WIN
13-Oct,MON,PRE LN,PRE LN,16,SELL,WIN
13-Oct,MON,PRE NY,PRE NY,0,BUY,LOSS
14-Oct,TUE,LN,PRE LN,19,BUY,WIN
14-Oct,TUE,NY,NY,0,SELL,LOSS
15-Oct,WED,PRE LN,PRE LN,0,SELL,LOSS
16-Oct,THU,LN,LN,0,BUY,LOSS
16-Oct,THU,NY,NY,0,SELL,LOSS
17-Oct,FRI,LN,LN,0,BUY,LOSS
17-Oct,FRI,NY,NY,5,BUY,WIN
20-Oct,MON,LN,LN,5.6,BUY,WIN
20-Oct,MON,POST NY,POST-NY,7,BUY,WIN
21-Oct,TUE,LN,LN,0,BUY,LOSS
21-Oct,TUE,POST NY,NY,0,BUY,LOSS
22-Oct,WED,LN,LN,0,BUY,LOSS
23-Oct,THU,PRE NY,LN,10,BUY,WIN
23-Oct,THU,POST NY,NY,0,SELL,LOSS
24-Oct,FRI,LN,LN,4,SELL,BE
28-Oct,TUE,LN,LN,0,BUY,LOSS
28-Oct,TUE,NY,NY,0,SELL,LOSS
29-Oct,WED,LN,PRE LN,3,BUY,BE
31-Oct,FRI,PRE LN,PRE LN,0,SELL,LOSS
31-Oct,FRI,NY,NY,5.2,BUY,WIN
01-Sep,MON,LN,PRE LN,0,SELL,LOSS
01-Sep,MON,NY,NY,0,BUY,LOSS
02-Sep,TUE,LN,LN,6,BUY,WIN
03-Sep,WED,LN,LN,0,SELL,LOSS
03-Sep,WED,POST NY,NY,8,SELL,WIN
04-Sep,THU,LN,PRE LN,0,BUY,LOSS
04-Sep,THU,NY,PRE NY,13,BUY,WIN
05-Sep,FRI,LN,LN,0,SELL,LOSS
08-Sep,MON,PRE LN,PRE LN,0,SELL,LOSS
08-Sep,MON,NY,NY,6,SELL,WIN
09-Sep,TUE,PRE LN,PRE LN,0,BUY,LOSS
09-Sep,TUE,NY,PRE NY,10,BUY,WIN
10-Sep,WED,PRE LN,PRE LN,8,SELL,WIN
11-Sep,THU,LN,LN,0,BUY,LOSS
11-Sep,THU,NY,NY,0,SELL,LOSS
12-Sep,FRI,NY,PRE NY,12.5,BUY,WIN
15-Sep,MON,LN,PRE LN,0,SELL,BE
15-Sep,MON,NY,NY,0,SELL,LOSS
16-Sep,TUE,PRE LN,PRE LN,0,SELL,LOSS
17-Sep,WED,LN,LN,27,BUY,WIN
17-Sep,WED,POST NY,NY,0,SELL,LOSS
18-Sep,THU,LN,LN,0,SELL,LOSS
19-Sep,FRI,LN,LN,0,BUY,LOSS
19-Sep,FRI,POST NY,NY,0,BUY,LOSS
22-Sep,MON,PRE LN,PRE LN,0,SELL,LOSS
23-Sep,TUE,PRE LN,PRE LN,0,BUY,LOSS
23-Sep,TUE,POST NY,POST-NY,0,SELL,BE
25-Sep,THU,LN,LN,5.5,BUY,WIN
26-Sep,FRI,NY,NY,0,SELL,LOSS
29-Sep,MON,LN,LN,10,BUY,WIN
29-Sep,MON,NY,PRE NY,0,SELL,LOSS
30-Sep,TUE,LN,PRE LN,0,SELL,LOSS
30-Sep,TUE,NY,NY,0,BUY,BE
01-Aug,FRI,NY,NY,0,SELL,LOSS
04-Aug,MON,NY,NY,8,SELL,WIN
05-Aug,TUE,LN,LN,0,BUY,LOSS
05-Aug,TUE,NY,NY,0,SELL,LOSS
06-Aug,WED,LN,PRE LN,0,SELL,LOSS
06-Aug,WED,NY,NY,0,SELL,LOSS
07-Aug,THU,NY,NY,0,BUY,LOSS
08-Aug,FRI,LN,LN,0,BUY,LOSS
08-Aug,FRI,POST NY,NY,9,SELL,WIN
11-Aug,MON,LN,LN,0,BUY,LOSS
12-Aug,TUE,LN,LN,0,BUY,LOSS
14-Aug,THU,PRE NY,LN,0,BUY,LOSS
14-Aug,THU,NY,NY,0,BUY,LOSS
15-Aug,FRI,LN,LN,0,SELL,LOSS
15-Aug,FRI,NY,PRE NY,3,SELL,BE
18-Aug,MON,NY,NY,0,BUY,LOSS
19-Aug,TUE,LN,LN,0,SELL,LOSS
20-Aug,WED,NY,NY,6.5,SELL,WIN
21-Aug,THU,LN,LN,22,SELL,WIN
22-Aug,FRI,NY,PRE NY,0,SELL,LOSS
25-Aug,MON,NY,LN,0,BUY,LOSS
26-Aug,TUE,LN,PRE LN,6.5,BUY,WIN
26-Aug,TUE,NY,NY,22,SELL,WIN
27-Aug,WED,LN,LN,0,BUY,LOSS
28-Aug,THU,LN,PRE LN,0,BUY,LOSS
29-Aug,FRI,NY,PRE NY,16,BUY,WIN
29-Aug,FRI,NY,NY,6,SELL,WIN
02-Jul,WED,PRE LN,PRE LN,0,BUY,LOSS
02-Jul,WED,POST NY,POST-NY,0,SELL,LOSS
04-Jul,FRI,NY,NY,5,SELL,WIN
07-Jul,MON,LN,LN,0,BUY,LOSS
07-Jul,MON,NY,PRE NY,0,BUY,LOSS
08-Jul,TUE,NY,NY,0,BUY,LOSS
09-Jul,WED,LN,PRE LN,9,SELL,WIN
10-Jul,THU,LN,LN,0,BUY,LOSS
10-Jul,THU,NY,PRE NY,0,BUY,LOSS
14-Jul,MON,NY,NY,5,BUY,WIN
15-Jul,TUE,LN,LN,7,SELL,WIN
15-Jul,TUE,NY,NY,0,BUY,LOSS
16-Jul,WED,LN,PRE LN,15,SELL,WIN
16-Jul,WED,NY,NY,40,BUY,WIN
17-Jul,THU,PRE NY,PRE NY,0,BUY,LOSS
18-Jul,FRI,LN,LN,0,SELL,LOSS
18-Jul,FRI,PRE NY,PRE NY,0,SELL,LOSS
21-Jul,MON,LN,PRE LN,0,SELL,LOSS
22-Jul,TUE,NY,LN,0,SELL,LOSS
23-Jul,WED,LN,PRE LN,6.5,SELL,WIN
24-Jul,THU,LN,LN,5,BUY,WIN
25-Jul,FRI,LN,PRE LN,12,SELL,WIN
28-Jul,MON,LN,LN,0,BUY,LOSS
28-Jul,MON,NY,NY,0,BUY,LOSS
29-Jul,TUE,LN,PRE LN,0,BUY,LOSS
29-Jul,TUE,NY,NY,9,BUY,WIN
30-Jul,WED,LN,PRE LN,0,BUY,LOSS
30-Jul,WED,POST NY,NY,0,BUY,LOSS
31-Jul,THU,PRE LN,PRE LN,0,SELL,LOSS
